NAICS,CTY_CODE,CTY_NAME,GEN_VAL_MO,time,COMM_LVL,NAICS
3344,5200,UNITED ARAB EMIRATES,130166,2021-01-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,407692,2021-02-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,158817,2021-03-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,22053,2021-04-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,238334,2021-05-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,117482,2021-06-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,23643,2021-07-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,460108,2021-08-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,26326,2021-09-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,19148,2021-10-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,179220,2021-11-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,113041,2021-12-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,81511,2022-01-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,12880,2022-02-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,148116,2022-03-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,122761,2022-04-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,141257,2022-05-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,59960,2022-06-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,50784,2022-07-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,26951,2022-08-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,527086,2022-09-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,90128,2022-10-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,290356,2022-11-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,121027,2022-12-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,196900,2023-01-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,55528,2023-02-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,82790,2023-03-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,68253,2023-04-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,59042,2023-05-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,144340,2023-06-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,155857,2023-07-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,403137,2023-08-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,164483,2023-09-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,336739,2023-10-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,311832,2023-11-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,878672,2023-12-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,725882,2024-01-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,370105,2024-02-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,615802,2024-03-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,61201,2024-04-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,618877,2024-05-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,409734,2024-06-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,129895,2024-07-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,116955,2024-08-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,495463,2024-09-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,871580,2024-10-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1862865,2024-11-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1821909,2024-12-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,535923,2025-01-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1273484,2025-02-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,646818,2025-03-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,552446,2025-04-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1040822,2025-05-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1565170,2025-06-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,940855,2025-07-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,2374767,2025-08-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,2155380,2025-09-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,1608523,2025-10-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,2208683,2025-11-01,NA4,3344
3344,5200,UNITED ARAB EMIRATES,2248448,2025-12-01,NA4,3344
3344,5210,YEMEN,109279,2021-03-01,NA4,3344
3344,5210,YEMEN,0,2021-04-01,NA4,3344
3344,5210,YEMEN,0,2021-05-01,NA4,3344
3344,5210,YEMEN,0,2021-06-01,NA4,3344
3344,5210,YEMEN,0,2021-07-01,NA4,3344
3344,5210,YEMEN,0,2021-08-01,NA4,3344
3344,5210,YEMEN,0,2021-09-01,NA4,3344
3344,5210,YEMEN,0,2021-10-01,NA4,3344
3344,5210,YEMEN,0,2021-11-01,NA4,3344
3344,5210,YEMEN,0,2021-12-01,NA4,3344
3344,5210,YEMEN,26640,2022-10-01,NA4,3344
3344,5210,YEMEN,0,2022-11-01,NA4,3344
3344,5210,YEMEN,0,2022-12-01,NA4,3344
3344,5210,YEMEN,22949,2023-09-01,NA4,3344
3344,5210,YEMEN,9320,2023-10-01,NA4,3344
3344,5210,YEMEN,0,2023-11-01,NA4,3344
3344,5210,YEMEN,0,2023-12-01,NA4,3344
3344,5210,YEMEN,4015,2024-06-01,NA4,3344
3344,5210,YEMEN,0,2024-07-01,NA4,3344
3344,5210,YEMEN,0,2024-08-01,NA4,3344
3344,5210,YEMEN,0,2024-09-01,NA4,3344
3344,5210,YEMEN,0,2024-10-01,NA4,3344
3344,5210,YEMEN,0,2024-11-01,NA4,3344
3344,5210,YEMEN,0,2024-12-01,NA4,3344
3344,5230,OMAN,4000,2021-01-01,NA4,3344
3344,5230,OMAN,0,2021-02-01,NA4,3344
3344,5230,OMAN,0,2021-03-01,NA4,3344
3344,5230,OMAN,2870,2021-04-01,NA4,3344
3344,5230,OMAN,0,2021-05-01,NA4,3344
3344,5230,OMAN,0,2021-06-01,NA4,3344
3344,5230,OMAN,0,2021-07-01,NA4,3344
3344,5230,OMAN,0,2021-08-01,NA4,3344
3344,5230,OMAN,0,2021-09-01,NA4,3344
3344,5230,OMAN,0,2021-10-01,NA4,3344
3344,5230,OMAN,4307,2021-11-01,NA4,3344
3344,5230,OMAN,18300,2021-12-01,NA4,3344
3344,5230,OMAN,10864,2022-03-01,NA4,3344
3344,5230,OMAN,2597,2022-04-01,NA4,3344
3344,5230,OMAN,0,2022-05-01,NA4,3344
3344,5230,OMAN,0,2022-06-01,NA4,3344
3344,5230,OMAN,0,2022-07-01,NA4,3344
3344,5230,OMAN,0,2022-08-01,NA4,3344
3344,5230,OMAN,0,2022-09-01,NA4,3344
3344,5230,OMAN,0,2022-10-01,NA4,3344
3344,5230,OMAN,0,2022-11-01,NA4,3344
3344,5230,OMAN,0,2022-12-01,NA4,3344
3344,5230,OMAN,18473,2023-03-01,NA4,3344
3344,5230,OMAN,0,2023-04-01,NA4,3344
3344,5230,OMAN,0,2023-05-01,NA4,3344
3344,5230,OMAN,0,2023-06-01,NA4,3344
3344,5230,OMAN,0,2023-07-01,NA4,3344
3344,5230,OMAN,0,2023-08-01,NA4,3344
3344,5230,OMAN,0,2023-09-01,NA4,3344
3344,5230,OMAN,0,2023-10-01,NA4,3344
3344,5230,OMAN,0,2023-11-01,NA4,3344
3344,5230,OMAN,0,2023-12-01,NA4,3344
3344,5230,OMAN,6080,2024-07-01,NA4,3344
3344,5230,OMAN,0,2024-08-01,NA4,3344
3344,5230,OMAN,0,2024-09-01,NA4,3344
3344,5230,OMAN,3641,2024-10-01,NA4,3344
3344,5230,OMAN,0,2024-11-01,NA4,3344
3344,5230,OMAN,0,2024-12-01,NA4,3344
3344,5230,OMAN,3084,2025-05-01,NA4,3344
3344,5230,OMAN,0,2025-06-01,NA4,3344
3344,5230,OMAN,0,2025-07-01,NA4,3344
3344,5230,OMAN,0,2025-08-01,NA4,3344
3344,5230,OMAN,0,2025-09-01,NA4,3344
3344,5230,OMAN,0,2025-10-01,NA4,3344
3344,5230,OMAN,9538,2025-11-01,NA4,3344
3344,5230,OMAN,0,2025-12-01,NA4,3344
3344,5250,BAHRAIN,2182,2021-06-01,NA4,3344
3344,5250,BAHRAIN,0,2021-07-01,NA4,3344
3344,5250,BAHRAIN,0,2021-08-01,NA4,3344
3344,5250,BAHRAIN,0,2021-09-01,NA4,3344
3344,5250,BAHRAIN,0,2021-10-01,NA4,3344
3344,5250,BAHRAIN,0,2021-11-01,NA4,3344
3344,5250,BAHRAIN,0,2021-12-01,NA4,3344
3344,5250,BAHRAIN,88487,2022-02-01,NA4,3344
3344,5250,BAHRAIN,3699,2022-03-01,NA4,3344
3344,5250,BAHRAIN,0,2022-04-01,NA4,3344
3344,5250,BAHRAIN,0,2022-05-01,NA4,3344
3344,5250,BAHRAIN,0,2022-06-01,NA4,3344
3344,5250,BAHRAIN,0,2022-07-01,NA4,3344
3344,5250,BAHRAIN,0,2022-08-01,NA4,3344
3344,5250,BAHRAIN,0,2022-09-01,NA4,3344
3344,5250,BAHRAIN,0,2022-10-01,NA4,3344
3344,5250,BAHRAIN,0,2022-11-01,NA4,3344
3344,5250,BAHRAIN,0,2022-12-01,NA4,3344
3344,5250,BAHRAIN,2660,2025-03-01,NA4,3344
3344,5250,BAHRAIN,0,2025-04-01,NA4,3344
3344,5250,BAHRAIN,0,2025-05-01,NA4,3344
3344,5250,BAHRAIN,0,2025-06-01,NA4,3344
3344,5250,BAHRAIN,0,2025-07-01,NA4,3344
3344,5250,BAHRAIN,0,2025-08-01,NA4,3344
3344,5250,BAHRAIN,0,2025-09-01,NA4,3344
3344,5250,BAHRAIN,0,2025-10-01,NA4,3344
3344,5250,BAHRAIN,0,2025-11-01,NA4,3344
3344,5250,BAHRAIN,0,2025-12-01,NA4,3344
3344,5310,AFGHANISTAN,2146,2021-06-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-07-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-08-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-09-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-10-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-11-01,NA4,3344
3344,5310,AFGHANISTAN,0,2021-12-01,NA4,3344
3344,5310,AFGHANISTAN,7889,2022-12-01,NA4,3344
3344,5310,AFGHANISTAN,20000,2024-08-01,NA4,3344
3344,5310,AFGHANISTAN,0,2024-09-01,NA4,3344
3344,5310,AFGHANISTAN,0,2024-10-01,NA4,3344
3344,5310,AFGHANISTAN,0,2024-11-01,NA4,3344
3344,5310,AFGHANISTAN,0,2024-12-01,NA4,3344
3344,5310,AFGHANISTAN,6500,2025-06-01,NA4,3344
3344,5310,AFGHANISTAN,0,2025-07-01,NA4,3344
3344,5310,AFGHANISTAN,3199,2025-08-01,NA4,3344
3344,5310,AFGHANISTAN,4031,2025-09-01,NA4,3344
3344,5310,AFGHANISTAN,0,2025-10-01,NA4,3344
3344,5310,AFGHANISTAN,49030,2025-11-01,NA4,3344
3344,5310,AFGHANISTAN,0,2025-12-01,NA4,3344
3344,5330,INDIA,59991526,2021-01-01,NA4,3344
3344,5330,INDIA,62920337,2021-02-01,NA4,3344
3344,5330,INDIA,76737192,2021-03-01,NA4,3344
3344,5330,INDIA,100843367,2021-04-01,NA4,3344
3344,5330,INDIA,101449726,2021-05-01,NA4,3344
3344,5330,INDIA,83888881,2021-06-01,NA4,3344
3344,5330,INDIA,77913143,2021-07-01,NA4,3344
3344,5330,INDIA,80539305,2021-08-01,NA4,3344
3344,5330,INDIA,103962195,2021-09-01,NA4,3344
3344,5330,INDIA,74022803,2021-10-01,NA4,3344
3344,5330,INDIA,68320382,2021-11-01,NA4,3344
3344,5330,INDIA,83326338,2021-12-01,NA4,3344
3344,5330,INDIA,87570352,2022-01-01,NA4,3344
3344,5330,INDIA,69059736,2022-02-01,NA4,3344
3344,5330,INDIA,92371282,2022-03-01,NA4,3344
3344,5330,INDIA,82827941,2022-04-01,NA4,3344
3344,5330,INDIA,139531296,2022-05-01,NA4,3344
3344,5330,INDIA,102770928,2022-06-01,NA4,3344
3344,5330,INDIA,90346937,2022-07-01,NA4,3344
3344,5330,INDIA,85989537,2022-08-01,NA4,3344
3344,5330,INDIA,106666988,2022-09-01,NA4,3344
3344,5330,INDIA,124126135,2022-10-01,NA4,3344
3344,5330,INDIA,139472511,2022-11-01,NA4,3344
3344,5330,INDIA,165128250,2022-12-01,NA4,3344
3344,5330,INDIA,253559107,2023-01-01,NA4,3344
3344,5330,INDIA,240436287,2023-02-01,NA4,3344
3344,5330,INDIA,287466480,2023-03-01,NA4,3344
3344,5330,INDIA,206111916,2023-04-01,NA4,3344
3344,5330,INDIA,205922114,2023-05-01,NA4,3344
3344,5330,INDIA,262661092,2023-06-01,NA4,3344
3344,5330,INDIA,230712807,2023-07-01,NA4,3344
3344,5330,INDIA,235877280,2023-08-01,NA4,3344
3344,5330,INDIA,265580215,2023-09-01,NA4,3344
3344,5330,INDIA,267369731,2023-10-01,NA4,3344
3344,5330,INDIA,183242596,2023-11-01,NA4,3344
3344,5330,INDIA,190254297,2023-12-01,NA4,3344
3344,5330,INDIA,134577121,2024-01-01,NA4,3344
3344,5330,INDIA,118594274,2024-02-01,NA4,3344
3344,5330,INDIA,163480580,2024-03-01,NA4,3344
3344,5330,INDIA,180424696,2024-04-01,NA4,3344
3344,5330,INDIA,387805420,2024-05-01,NA4,3344
3344,5330,INDIA,325684565,2024-06-01,NA4,3344
3344,5330,INDIA,198560694,2024-07-01,NA4,3344
3344,5330,INDIA,187286471,2024-08-01,NA4,3344
3344,5330,INDIA,172336845,2024-09-01,NA4,3344
3344,5330,INDIA,90729433,2024-10-01,NA4,3344
3344,5330,INDIA,122670460,2024-11-01,NA4,3344
3344,5330,INDIA,101649249,2024-12-01,NA4,3344
3344,5330,INDIA,132167047,2025-01-01,NA4,3344
3344,5330,INDIA,144787312,2025-02-01,NA4,3344
3344,5330,INDIA,135870177,2025-03-01,NA4,3344
3344,5330,INDIA,126538870,2025-04-01,NA4,3344
3344,5330,INDIA,141045755,2025-05-01,NA4,3344
3344,5330,INDIA,186822983,2025-06-01,NA4,3344
3344,5330,INDIA,182278947,2025-07-01,NA4,3344
3344,5330,INDIA,137987011,2025-08-01,NA4,3344
3344,5330,INDIA,117072218,2025-09-01,NA4,3344
3344,5330,INDIA,116985251,2025-10-01,NA4,3344
3344,5330,INDIA,56613557,2025-11-01,NA4,3344
3344,5330,INDIA,63781899,2025-12-01,NA4,3344
3344,5350,PAKISTAN,53620,2021-01-01,NA4,3344
3344,5350,PAKISTAN,3370,2021-02-01,NA4,3344
3344,5350,PAKISTAN,5905,2021-03-01,NA4,3344
3344,5350,PAKISTAN,88047,2021-04-01,NA4,3344
3344,5350,PAKISTAN,45441,2021-05-01,NA4,3344
3344,5350,PAKISTAN,108494,2021-06-01,NA4,3344
3344,5350,PAKISTAN,68430,2021-07-01,NA4,3344
3344,5350,PAKISTAN,7722,2021-08-01,NA4,3344
3344,5350,PAKISTAN,33231,2021-09-01,NA4,3344
3344,5350,PAKISTAN,0,2021-10-01,NA4,3344
3344,5350,PAKISTAN,27411,2021-11-01,NA4,3344
3344,5350,PAKISTAN,30168,2021-12-01,NA4,3344
3344,5350,PAKISTAN,38796,2022-01-01,NA4,3344
3344,5350,PAKISTAN,37661,2022-02-01,NA4,3344
3344,5350,PAKISTAN,0,2022-03-01,NA4,3344
3344,5350,PAKISTAN,24032,2022-04-01,NA4,3344
3344,5350,PAKISTAN,65115,2022-05-01,NA4,3344
3344,5350,PAKISTAN,18550,2022-06-01,NA4,3344
3344,5350,PAKISTAN,62610,2022-07-01,NA4,3344
3344,5350,PAKISTAN,19448,2022-08-01,NA4,3344
3344,5350,PAKISTAN,0,2022-09-01,NA4,3344
3344,5350,PAKISTAN,29879,2022-10-01,NA4,3344
3344,5350,PAKISTAN,25025,2022-11-01,NA4,3344
3344,5350,PAKISTAN,11460,2022-12-01,NA4,3344
3344,5350,PAKISTAN,8360,2023-03-01,NA4,3344
3344,5350,PAKISTAN,19937,2023-04-01,NA4,3344
3344,5350,PAKISTAN,0,2023-05-01,NA4,3344
3344,5350,PAKISTAN,32747,2023-06-01,NA4,3344
3344,5350,PAKISTAN,0,2023-07-01,NA4,3344
3344,5350,PAKISTAN,14975,2023-08-01,NA4,3344
3344,5350,PAKISTAN,0,2023-09-01,NA4,3344
3344,5350,PAKISTAN,21871,2023-10-01,NA4,3344
3344,5350,PAKISTAN,0,2023-11-01,NA4,3344
3344,5350,PAKISTAN,7502,2023-12-01,NA4,3344
3344,5350,PAKISTAN,8080,2024-01-01,NA4,3344
3344,5350,PAKISTAN,135661,2024-02-01,NA4,3344
3344,5350,PAKISTAN,6180,2024-03-01,NA4,3344
3344,5350,PAKISTAN,5000,2024-04-01,NA4,3344
3344,5350,PAKISTAN,0,2024-05-01,NA4,3344
3344,5350,PAKISTAN,35882,2024-06-01,NA4,3344
3344,5350,PAKISTAN,18249,2024-07-01,NA4,3344
3344,5350,PAKISTAN,78400,2024-08-01,NA4,3344
3344,5350,PAKISTAN,2130,2024-09-01,NA4,3344
3344,5350,PAKISTAN,14192,2024-10-01,NA4,3344
3344,5350,PAKISTAN,0,2024-11-01,NA4,3344
3344,5350,PAKISTAN,0,2024-12-01,NA4,3344
3344,5350,PAKISTAN,15739,2025-01-01,NA4,3344
3344,5350,PAKISTAN,97461,2025-02-01,NA4,3344
3344,5350,PAKISTAN,0,2025-03-01,NA4,3344
3344,5350,PAKISTAN,6102,2025-04-01,NA4,3344
3344,5350,PAKISTAN,206517,2025-05-01,NA4,3344
3344,5350,PAKISTAN,130914,2025-06-01,NA4,3344
3344,5350,PAKISTAN,25000,2025-07-01,NA4,3344
3344,5350,PAKISTAN,0,2025-08-01,NA4,3344
3344,5350,PAKISTAN,46754,2025-09-01,NA4,3344
3344,5350,PAKISTAN,0,2025-10-01,NA4,3344
3344,5350,PAKISTAN,3305,2025-11-01,NA4,3344
3344,5350,PAKISTAN,21572,2025-12-01,NA4,3344
3344,5360,NEPAL,32637,2021-06-01,NA4,3344
3344,5360,NEPAL,0,2021-07-01,NA4,3344
3344,5360,NEPAL,0,2021-08-01,NA4,3344
3344,5360,NEPAL,0,2021-09-01,NA4,3344
3344,5360,NEPAL,0,2021-10-01,NA4,3344
3344,5360,NEPAL,0,2021-11-01,NA4,3344
3344,5360,NEPAL,0,2021-12-01,NA4,3344
3344,5360,NEPAL,40407,2022-02-01,NA4,3344
3344,5360,NEPAL,0,2022-03-01,NA4,3344
3344,5360,NEPAL,0,2022-04-01,NA4,3344
3344,5360,NEPAL,0,2022-05-01,NA4,3344
3344,5360,NEPAL,0,2022-06-01,NA4,3344
3344,5360,NEPAL,0,2022-07-01,NA4,3344
3344,5360,NEPAL,0,2022-08-01,NA4,3344
3344,5360,NEPAL,0,2022-09-01,NA4,3344
3344,5360,NEPAL,0,2022-10-01,NA4,3344
3344,5360,NEPAL,0,2022-11-01,NA4,3344
3344,5360,NEPAL,0,2022-12-01,NA4,3344
3344,5360,NEPAL,8590,2025-01-01,NA4,3344
3344,5360,NEPAL,0,2025-02-01,NA4,3344
3344,5360,NEPAL,0,2025-03-01,NA4,3344
3344,5360,NEPAL,0,2025-04-01,NA4,3344
3344,5360,NEPAL,0,2025-05-01,NA4,3344
3344,5360,NEPAL,0,2025-06-01,NA4,3344
3344,5360,NEPAL,0,2025-07-01,NA4,3344
3344,5360,NEPAL,0,2025-08-01,NA4,3344
3344,5360,NEPAL,0,2025-09-01,NA4,3344
3344,5360,NEPAL,0,2025-10-01,NA4,3344
3344,5360,NEPAL,0,2025-11-01,NA4,3344
3344,5360,NEPAL,0,2025-12-01,NA4,3344
3344,5380,BANGLADESH,155280,2021-02-01,NA4,3344
3344,5380,BANGLADESH,0,2021-03-01,NA4,3344
3344,5380,BANGLADESH,0,2021-04-01,NA4,3344
3344,5380,BANGLADESH,177404,2021-05-01,NA4,3344
3344,5380,BANGLADESH,0,2021-06-01,NA4,3344
3344,5380,BANGLADESH,147044,2021-07-01,NA4,3344
3344,5380,BANGLADESH,70986,2021-08-01,NA4,3344
3344,5380,BANGLADESH,455512,2021-09-01,NA4,3344
3344,5380,BANGLADESH,5454,2021-10-01,NA4,3344
3344,5380,BANGLADESH,768064,2021-11-01,NA4,3344
3344,5380,BANGLADESH,0,2021-12-01,NA4,3344
3344,5380,BANGLADESH,773664,2022-01-01,NA4,3344
3344,5380,BANGLADESH,311523,2022-02-01,NA4,3344
3344,5380,BANGLADESH,706244,2022-03-01,NA4,3344
3344,5380,BANGLADESH,0,2022-04-01,NA4,3344
3344,5380,BANGLADESH,116017,2022-05-01,NA4,3344
3344,5380,BANGLADESH,315650,2022-06-01,NA4,3344
3344,5380,BANGLADESH,303582,2022-07-01,NA4,3344
3344,5380,BANGLADESH,0,2022-08-01,NA4,3344
3344,5380,BANGLADESH,460499,2022-09-01,NA4,3344
3344,5380,BANGLADESH,931806,2022-10-01,NA4,3344
3344,5380,BANGLADESH,631944,2022-11-01,NA4,3344
3344,5380,BANGLADESH,321022,2022-12-01,NA4,3344
3344,5380,BANGLADESH,334951,2023-01-01,NA4,3344
3344,5380,BANGLADESH,471141,2023-02-01,NA4,3344
3344,5380,BANGLADESH,390798,2023-03-01,NA4,3344
3344,5380,BANGLADESH,349942,2023-04-01,NA4,3344
3344,5380,BANGLADESH,825051,2023-05-01,NA4,3344
3344,5380,BANGLADESH,342064,2023-06-01,NA4,3344
3344,5380,BANGLADESH,869634,2023-07-01,NA4,3344
3344,5380,BANGLADESH,206739,2023-08-01,NA4,3344
3344,5380,BANGLADESH,1028704,2023-09-01,NA4,3344
3344,5380,BANGLADESH,457002,2023-10-01,NA4,3344
3344,5380,BANGLADESH,167306,2023-11-01,NA4,3344
3344,5380,BANGLADESH,9834,2023-12-01,NA4,3344
3344,5380,BANGLADESH,18420,2024-01-01,NA4,3344
3344,5380,BANGLADESH,0,2024-02-01,NA4,3344
3344,5380,BANGLADESH,29248,2024-03-01,NA4,3344
3344,5380,BANGLADESH,73786,2024-04-01,NA4,3344
3344,5380,BANGLADESH,2516,2024-05-01,NA4,3344
3344,5380,BANGLADESH,257017,2024-06-01,NA4,3344
3344,5380,BANGLADESH,291481,2024-07-01,NA4,3344
3344,5380,BANGLADESH,761092,2024-08-01,NA4,3344
3344,5380,BANGLADESH,304808,2024-09-01,NA4,3344
3344,5380,BANGLADESH,246117,2024-10-01,NA4,3344
3344,5380,BANGLADESH,350877,2024-11-01,NA4,3344
3344,5380,BANGLADESH,219368,2024-12-01,NA4,3344
3344,5380,BANGLADESH,700020,2025-01-01,NA4,3344
3344,5380,BANGLADESH,337750,2025-02-01,NA4,3344
3344,5380,BANGLADESH,473285,2025-03-01,NA4,3344
3344,5380,BANGLADESH,130140,2025-04-01,NA4,3344
3344,5380,BANGLADESH,90262,2025-05-01,NA4,3344
3344,5380,BANGLADESH,262565,2025-06-01,NA4,3344
3344,5380,BANGLADESH,622336,2025-07-01,NA4,3344
3344,5380,BANGLADESH,72734,2025-08-01,NA4,3344
3344,5380,BANGLADESH,4179,2025-09-01,NA4,3344
3344,5380,BANGLADESH,0,2025-10-01,NA4,3344
3344,5380,BANGLADESH,0,2025-11-01,NA4,3344
3344,5380,BANGLADESH,4027,2025-12-01,NA4,3344
3344,5420,SRI LANKA,523269,2021-01-01,NA4,3344
3344,5420,SRI LANKA,723695,2021-02-01,NA4,3344
3344,5420,SRI LANKA,794087,2021-03-01,NA4,3344
3344,5420,SRI LANKA,625174,2021-04-01,NA4,3344
3344,5420,SRI LANKA,909590,2021-05-01,NA4,3344
3344,5420,SRI LANKA,653214,2021-06-01,NA4,3344
3344,5420,SRI LANKA,765655,2021-07-01,NA4,3344
3344,5420,SRI LANKA,860607,2021-08-01,NA4,3344
3344,5420,SRI LANKA,1206382,2021-09-01,NA4,3344
3344,5420,SRI LANKA,593358,2021-10-01,NA4,3344
3344,5420,SRI LANKA,1607231,2021-11-01,NA4,3344
3344,5420,SRI LANKA,834031,2021-12-01,NA4,3344
3344,5420,SRI LANKA,1118685,2022-01-01,NA4,3344
3344,5420,SRI LANKA,1003414,2022-02-01,NA4,3344
3344,5420,SRI LANKA,1534934,2022-03-01,NA4,3344
3344,5420,SRI LANKA,909208,2022-04-01,NA4,3344
3344,5420,SRI LANKA,1633971,2022-05-01,NA4,3344
3344,5420,SRI LANKA,997609,2022-06-01,NA4,3344
3344,5420,SRI LANKA,1108168,2022-07-01,NA4,3344
3344,5420,SRI LANKA,1177596,2022-08-01,NA4,3344
3344,5420,SRI LANKA,1569583,2022-09-01,NA4,3344
3344,5420,SRI LANKA,1594875,2022-10-01,NA4,3344
3344,5420,SRI LANKA,1738745,2022-11-01,NA4,3344
3344,5420,SRI LANKA,1093763,2022-12-01,NA4,3344
3344,5420,SRI LANKA,954836,2023-01-01,NA4,3344
3344,5420,SRI LANKA,986606,2023-02-01,NA4,3344
3344,5420,SRI LANKA,1755943,2023-03-01,NA4,3344
3344,5420,SRI LANKA,761150,2023-04-01,NA4,3344
3344,5420,SRI LANKA,1108421,2023-05-01,NA4,3344
3344,5420,SRI LANKA,1420562,2023-06-01,NA4,3344
3344,5420,SRI LANKA,1063352,2023-07-01,NA4,3344
3344,5420,SRI LANKA,1375675,2023-08-01,NA4,3344
3344,5420,SRI LANKA,1325265,2023-09-01,NA4,3344
3344,5420,SRI LANKA,1011051,2023-10-01,NA4,3344
3344,5420,SRI LANKA,1155416,2023-11-01,NA4,3344
3344,5420,SRI LANKA,1047129,2023-12-01,NA4,3344
3344,5420,SRI LANKA,786534,2024-01-01,NA4,3344
3344,5420,SRI LANKA,779713,2024-02-01,NA4,3344
3344,5420,SRI LANKA,609806,2024-03-01,NA4,3344
3344,5420,SRI LANKA,1122895,2024-04-01,NA4,3344
3344,5420,SRI LANKA,1021887,2024-05-01,NA4,3344
3344,5420,SRI LANKA,1033386,2024-06-01,NA4,3344
3344,5420,SRI LANKA,919861,2024-07-01,NA4,3344
3344,5420,SRI LANKA,803385,2024-08-01,NA4,3344
3344,5420,SRI LANKA,1305016,2024-09-01,NA4,3344
3344,5420,SRI LANKA,1152712,2024-10-01,NA4,3344
3344,5420,SRI LANKA,1038571,2024-11-01,NA4,3344
3344,5420,SRI LANKA,1032693,2024-12-01,NA4,3344
3344,5420,SRI LANKA,932728,2025-01-01,NA4,3344
3344,5420,SRI LANKA,949939,2025-02-01,NA4,3344
3344,5420,SRI LANKA,1184637,2025-03-01,NA4,3344
3344,5420,SRI LANKA,832763,2025-04-01,NA4,3344
3344,5420,SRI LANKA,1002882,2025-05-01,NA4,3344
3344,5420,SRI LANKA,1329132,2025-06-01,NA4,3344
3344,5420,SRI LANKA,1629577,2025-07-01,NA4,3344
3344,5420,SRI LANKA,1317203,2025-08-01,NA4,3344
3344,5420,SRI LANKA,1978585,2025-09-01,NA4,3344
3344,5420,SRI LANKA,1329843,2025-10-01,NA4,3344
3344,5420,SRI LANKA,1443289,2025-11-01,NA4,3344
3344,5420,SRI LANKA,1138397,2025-12-01,NA4,3344
3344,5460,BURMA,18987,2021-01-01,NA4,3344
3344,5460,BURMA,53296,2021-02-01,NA4,3344
3344,5460,BURMA,97179,2021-03-01,NA4,3344
3344,5460,BURMA,141311,2021-04-01,NA4,3344
3344,5460,BURMA,13860,2021-05-01,NA4,3344
